Generation,Avg_Fitness,Population_Size,Genetic_Diversity
0,0.7900000000000001,30,0.23333333333333334
1,0.8000000000000002,30,0.3333333333333333
2,0.8100000000000002,30,0.3333333333333333
3,0.82,30,0.36666666666666664
4,0.8300000000000001,30,0.36666666666666664
5,0.84,30,0.4
6,0.8500000000000002,30,0.4
7,0.8599999999999999,30,0.5666666666666667
8,0.8700000000000002,30,0.5666666666666667
9,0.8800000000000002,30,0.6
10,0.8900000000000001,30,0.6666666666666666
11,0.9000000000000001,30,0.7
12,0.91,30,0.7666666666666667
13,0.9200000000000002,30,0.7666666666666667
14,0.9299999999999998,30,0.8
15,0.9400000000000002,30,0.8
16,0.9500000000000003,30,0.8333333333333334
17,0.9600000000000003,30,0.9
18,0.9700000000000002,30,0.9
19,0.9800000000000001,30,0.9
